experiment,seed,dataset,sample_id,df,lr_degradation,model,input_projection,hash_base_resolution,hash_max_resolution,iters,psnr_model,psnr_bilinear,psnr_improvement,ssim_model,ssim_bilinear,ssim_improvement,lpips_model,lpips_bilinear,lpips_improvement,eval_crop_applied,eval_crop_lr,eval_crop_hr,attn_entropy_mean,attn_fine_mass_last3,training_time_seconds,time_per_iteration_seconds,total_runtime_seconds,final_recon_loss,ttq_psnr_seconds,ttq_psnr_iteration,artifact_dir,command,attn_mean_by_level
hashgrid_mlp_baseline_area,6,satburst_real,s2_patch_center_v2,4,area,mlp_tcnn,hashgrid_tcnn,16,64,2000,32.700626373291016,48.58501434326172,-15.884387969970703,0.9184026718139648,0.993816614151001,-0.07541394233703613,0.233936607837677,0.032984476536512375,-0.20095213130116463,False,64,256,,,7.922776937484741,0.003961388468742371,11.295714139938354,0.3535381257534027,,,/workspaces/scalef/single_samples/satburst_real/s2_patch_center_v2/hashgrid_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_patch_center_v2 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name hashgrid_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_s2_psf,6,satburst_real,s2_patch_center_v2,4,s2_psf,mlp_tcnn,hashgrid_tcnn,16,64,2000,31.747350692749023,48.58501434326172,-16.837663650512695,0.8753779530525208,0.993816614151001,-0.11843866109848022,0.28637784719467163,0.032984476536512375,-0.25339337065815926,False,64,256,,,9.967305421829224,0.004983652710914612,13.326565742492676,0.3642374873161316,,,/workspaces/scalef/single_samples/satburst_real/s2_patch_center_v2/hashgrid_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_patch_center_v2 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name hashgrid_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention_area,6,satburst_real,s2_patch_center_v2,4,area,hash_attn,hashgrid_tcnn,16,64,2000,32.71312713623047,48.58501434326172,-15.87188720703125,0.922426164150238,0.993816614151001,-0.07139045000076294,0.2143009454011917,0.032984476536512375,-0.18131646886467934,False,64,256,2.478661060333252,0.4571029245853424,13.764597654342651,0.006882298827171326,17.23573589324951,0.3669166564941406,,,/workspaces/scalef/single_samples/satburst_real/s2_patch_center_v2/hashgrid_level_attention_area,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_patch_center_v2 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation area --run_name hashgrid_level_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.027096284553408623, 0.027107883244752884, 0.028056753799319267, 0.030548468232154846, 0.03122970275580883, 0.03226074203848839, 0.03271670266985893, 0.034645773470401764, 0.03872170299291611, 0.04324069991707802, 0.056231845170259476, 0.06922991573810577, 0.09181061387062073, 0.11779464781284332, 0.13028329610824585, 0.20902496576309204]"
hashgrid_level_attention_s2_psf,6,satburst_real,s2_patch_center_v2,4,s2_psf,hash_attn,hashgrid_tcnn,16,64,2000,31.81664276123047,48.58501434326172,-16.76837158203125,0.8803563117980957,0.993816614151001,-0.11346030235290527,0.2733779549598694,0.032984476536512375,-0.240393478423357,False,64,256,2.2227678298950195,0.5827866792678833,15.289600849151611,0.007644800424575805,18.708354711532593,0.36848729848861694,,,/workspaces/scalef/single_samples/satburst_real/s2_patch_center_v2/hashgrid_level_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_patch_center_v2 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation s2_psf --run_name hashgrid_level_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.01947975344955921, 0.019110292196273804, 0.020050249993801117, 0.022370224818587303, 0.022845394909381866, 0.02402130700647831, 0.024144941940903664, 0.026041805744171143, 0.028571218252182007, 0.033677563071250916, 0.04572775214910507, 0.0515981987118721, 0.0795745849609375, 0.11897768825292587, 0.160654678940773, 0.3031543493270874]"
fourier_band_attention_area,6,satburst_real,s2_patch_center_v2,4,area,fourier_band_attn,fourier,8,48,2000,31.859966278076172,48.58501434326172,-16.725048065185547,0.8630692362785339,0.993816614151001,-0.13074737787246704,0.38544514775276184,0.032984476536512375,-0.35246067121624947,False,64,256,1.9992015361785889,0.4411765933036804,12.07512354850769,0.006037561774253845,15.619394779205322,0.37791967391967773,,,/workspaces/scalef/single_samples/satburst_real/s2_patch_center_v2/fourier_band_attention_area,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_patch_center_v2 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation area --run_name fourier_band_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.10924965888261795, 0.1132337674498558, 0.11469054967164993, 0.12400318682193756, 0.09764623641967773, 0.14940783381462097, 0.13185971975326538, 0.15990903973579407]"
fourier_band_attention_s2_psf,6,satburst_real,s2_patch_center_v2,4,s2_psf,fourier_band_attn,fourier,8,48,2000,30.70113754272461,48.58501434326172,-17.88387680053711,0.8041496276855469,0.993816614151001,-0.1896669864654541,0.43328940868377686,0.032984476536512375,-0.4003049321472645,False,64,256,1.9733531475067139,0.44449377059936523,13.403017282485962,0.006701508641242981,16.73260521888733,0.3603214621543884,,,/workspaces/scalef/single_samples/satburst_real/s2_patch_center_v2/fourier_band_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_patch_center_v2 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation s2_psf --run_name fourier_band_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.10945937037467957, 0.10272039473056793, 0.11660653352737427, 0.12719619274139404, 0.09952374547719955, 0.15450051426887512, 0.13184234499931335, 0.15815092623233795]"
fourier_mlp_baseline_area,6,satburst_real,s2_scene_center_v2_128,4,area,mlp_tcnn,fourier,8,48,2000,32.619598388671875,48.435508728027344,-15.815910339355469,0.9301082491874695,0.9937582015991211,-0.06364995241165161,0.22483757138252258,0.033201247453689575,-0.191636323928833,True,64,256,,,15.138283252716064,0.007569141626358032,20.641780853271484,0.24096135795116425,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_128/fourier_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_128 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name fourier_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
fourier_mlp_baseline_s2_psf,6,satburst_real,s2_scene_center_v2_128,4,s2_psf,mlp_tcnn,fourier,8,48,2000,32.439414978027344,48.435508728027344,-15.99609375,0.9217257499694824,0.9937582015991211,-0.07203245162963867,0.25547605752944946,0.033201247453689575,-0.2222748100757599,True,64,256,,,17.89881420135498,0.00894940710067749,23.452980041503906,0.24366217851638794,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_128/fourier_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_128 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name fourier_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_area,6,satburst_real,s2_scene_center_v2_128,4,area,mlp_tcnn,hashgrid_tcnn,32,128,2000,32.482303619384766,48.435508728027344,-15.953205108642578,0.923759937286377,0.9937582015991211,-0.06999826431274414,0.21541666984558105,0.033201247453689575,-0.18221542239189148,True,64,256,,,12.667972326278687,0.006333986163139343,18.23182201385498,0.2261172980070114,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_128/hashgrid_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_128 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name hashgrid_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_s2_psf,6,satburst_real,s2_scene_center_v2_128,4,s2_psf,mlp_tcnn,hashgrid_tcnn,32,128,2000,31.948471069335938,48.435508728027344,-16.487037658691406,0.8933660387992859,0.9937582015991211,-0.1003921627998352,0.2570066452026367,0.033201247453689575,-0.22380539774894714,True,64,256,,,15.56806993484497,0.0077840349674224854,23.940770626068115,0.23061954975128174,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_128/hashgrid_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_128 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name hashgrid_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_level_attention_area,6,satburst_real,s2_scene_center_v2_128,4,area,hash_attn,hashgrid_tcnn,32,128,2000,32.46896743774414,48.435508728027344,-15.966541290283203,0.9268741607666016,0.9937582015991211,-0.06688404083251953,0.2087850719690323,0.033201247453689575,-0.1755838245153427,True,64,256,2.6439576148986816,0.34599918127059937,35.28379845619202,0.01764189922809601,40.97357654571533,0.23131349682807922,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_128/hashgrid_level_attention_area,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_128 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation area --run_name hashgrid_level_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.036036521196365356, 0.03692355006933212, 0.037440575659275055, 0.04061282426118851, 0.041386447846889496, 0.04294109717011452, 0.045454420149326324, 0.048604778945446014, 0.05273275822401047, 0.05512011796236038, 0.06255625188350677, 0.07194679975509644, 0.08224467933177948, 0.09574165940284729, 0.11181572079658508, 0.1384417861700058]"
hashgrid_level_attention_s2_psf,6,satburst_real,s2_scene_center_v2_128,4,s2_psf,hash_attn,hashgrid_tcnn,32,128,2000,31.994266510009766,48.435508728027344,-16.441242218017578,0.9022197723388672,0.9937582015991211,-0.0915384292602539,0.2543990910053253,0.033201247453689575,-0.22119784355163574,True,64,256,2.4892783164978027,0.4465659558773041,37.01698637008667,0.018508493185043336,42.57693934440613,0.23485326766967773,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_128/hashgrid_level_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_128 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model hash_attn --hash_attn_token_dim 32 --log_attention --lr_degradation s2_psf --run_name hashgrid_level_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.027147091925144196, 0.028173618018627167, 0.028543002903461456, 0.031797055155038834, 0.03217843919992447, 0.03355205059051514, 0.035971857607364655, 0.03902927786111832, 0.0435636043548584, 0.04708053171634674, 0.054725125432014465, 0.0664316788315773, 0.08524070680141449, 0.107340507209301, 0.13796980679035187, 0.20125563442707062]"
fourier_band_attention_area,6,satburst_real,s2_scene_center_v2_128,4,area,fourier_band_attn,fourier,8,48,2000,31.703624725341797,48.435508728027344,-16.731884002685547,0.8885297775268555,0.9937582015991211,-0.10522842407226562,0.36936724185943604,0.033201247453689575,-0.33616599440574646,True,64,256,2.0284528732299805,0.3874884843826294,29.544172048568726,0.014772086024284363,35.09643292427063,0.27689746022224426,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_128/fourier_band_attention_area,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_128 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation area --run_name fourier_band_attention_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.10997343063354492, 0.1502303183078766, 0.12074314057826996, 0.1465744823217392, 0.08499015867710114, 0.132187619805336, 0.12517312169075012, 0.13012772798538208]"
fourier_band_attention_s2_psf,6,satburst_real,s2_scene_center_v2_128,4,s2_psf,fourier_band_attn,fourier,8,48,2000,31.463891983032227,48.435508728027344,-16.971616744995117,0.8772643208503723,0.9937582015991211,-0.11649388074874878,0.39009571075439453,0.033201247453689575,-0.35689446330070496,True,64,256,2.021090030670166,0.38867315649986267,31.87814450263977,0.015939072251319884,37.341686487197876,0.2812134921550751,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_128/fourier_band_attention_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_128 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model fourier_band_attn --attn_token_dim 32 --fourier_num_bands 8 --log_attention --lr_degradation s2_psf --run_name fourier_band_attention_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,"[0.1103973388671875, 0.1497080773115158, 0.12159512937068939, 0.14573465287685394, 0.08389163762331009, 0.13323859870433807, 0.12704899907112122, 0.1283855438232422]"
fourier_mlp_baseline_area,6,satburst_real,s2_scene_center_v2_256,4,area,mlp_tcnn,fourier,8,48,2000,31.19455909729004,48.435508728027344,-17.240949630737305,0.9027097821235657,0.9937582015991211,-0.09104841947555542,0.33503711223602295,0.033201247453689575,-0.3018358647823334,True,64,256,,,37.80366134643555,0.018901830673217775,43.20048379898071,0.08519323915243149,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_256/fourier_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_256 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name fourier_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
fourier_mlp_baseline_s2_psf,6,satburst_real,s2_scene_center_v2_256,4,s2_psf,mlp_tcnn,fourier,8,48,2000,31.143152236938477,48.435508728027344,-17.292356491088867,0.8993993401527405,0.9937582015991211,-0.09435886144638062,0.3461139500141144,0.033201247453689575,-0.3129127025604248,True,64,256,,,47.50760221481323,0.023753801107406616,52.89556694030762,0.08835728466510773,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_256/fourier_mlp_baseline_s2_psf,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_256 --input_projection fourier --projection_dim 256 --fourier_scale 10 --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation s2_psf --run_name fourier_mlp_baseline_s2_psf --eval_crop_lr_size 64 --eval_crop_anchor topleft,
hashgrid_mlp_baseline_area,6,satburst_real,s2_scene_center_v2_256,4,area,mlp_tcnn,hashgrid_tcnn,64,256,2000,31.34125518798828,48.435508728027344,-17.094253540039062,0.9164642691612244,0.9937582015991211,-0.07729393243789673,0.2108299285173416,0.033201247453689575,-0.17762868106365204,True,64,256,,,26.107882976531982,0.013053941488265991,31.532994985580444,0.07201480865478516,,,/workspaces/scalef/single_samples/satburst_real/s2_scene_center_v2_256/hashgrid_mlp_baseline_area,/workspaces/scalef/optimize.py --dataset satburst_real --satburst_data_root data_real --df 4 --lr_shift 1.0 --aug none --num_samples 16 --iters 2000 --batch_size 1 --optimizer adamw --learning_rate 2e-3 --weight_decay 0 --seed 6 --device cuda:1 --sample_id s2_scene_center_v2_256 --input_projection hashgrid --hash_n_levels 16 --hash_n_features_per_level 2 --hash_log2_hashmap_size 21 --hash_base_resolution 0 --hash_max_resolution 0 --hash_encoding_dtype fp32 --hash_encoding_preset smoothstep_grid --hash_grid_type Hash --network_depth 4 --network_hidden_dim 256 --weight_decay 0 --model mlp_tcnn --tcnn_mlp_dtype fp16 --lr_degradation area --run_name hashgrid_mlp_baseline_area --eval_crop_lr_size 64 --eval_crop_anchor topleft,
